sentence,Governing Law,Termination,Confidentiality,Limitation Of Liability,License Grant,Non-Compete,Assignment,IP Ownership,Payment Terms
"Upon receipt of that notice, Supplier shall (i) immediately stop accessing and/or accepting Confidential Information and (ii) promptly return to Bank of America or destroy according to the Information Destruction Requirements described within SCHEDULE E, ""Information Security,"" at Bank of America's election, all Bank of America Confidential Information in the possession of Supplier or Suppliers Subcontractors, subject to and in accordance with the terms and provisions of this Agreement.",0,0,0,0,0,0,0,0,0
This Amendment and and any dispute or claim (including non-contractual disputes or claims) arising out of or in connection with it or its subject matter or formation shall be governed by and construed in accordance with the laws of England.,1,0,0,0,0,0,0,0,0
"At all times during the Term without cost to Owner, Operator shall maintain in force the following insurance, which insurance shall not be subject to cancellation, termination or other material adverse changes unless the insurer delivers to Owner 31 Source: BLOOM ENERGY CORP, DRS/A (on S-1), 3/21/2018 written notice of the cancellation, termination or change at least thirty (30) days in advance of the effective date of the cancellation, termination or material adverse change: (a) Worker's Compensation Insurance as required by the laws of the state where Operator's facilities are located; (b) Employer's liability insurance with limits not less than One Million Dollars ($1,000,000); and (c) Commercial General Liability Insurance, including bodily injury and property damage liability including premises operations, contractual liability endorsements, products liability and completed operations with limits not less than Five Million Dollars ($5,000,000).",0,0,0,0,0,0,0,0,0
"This letter agreement will be effective as of July 1, 2018.",0,0,0,0,0,0,0,0,0
Updates log.,0,0,0,0,0,0,0,0,0
"Subject to Ginkgo's obligation to satisfy the Minimum Cumulative Purchase Commitment for a Contract Year, with respect to the second  Contract Years as set forth in Table 7.2.2 are .",0,0,0,0,0,0,0,0,1
"Exhibit D: [* * *] Purchase Specifications [* * *] [* * *] = Certain confidential information contained in this document, marked by brackets, has been omitted and filed separately with the Securities and Exchange Commission pursuant to Rule 406 of the Securities Act of 1933, as amended.",0,0,0,0,0,0,0,0,0
Distributor agrees that during the term of this agreement it meet the minimum performance goals set forth in Exhibit C to this agreement.,0,0,0,0,0,0,0,0,1
The rights of Developer under this Agreement shall immediately cease and be terminated upon the sale or transfer of all or substantially all of the assets of Developer unless an assignment of such rights pursuant to such sale or transfer has been previously approved in writing by DSS.,0,0,0,0,0,0,1,0,0
This Agreement shall be governed by and interpreted under and in accordance with the laws of the State of Delaware without regard to principles of conflicts of laws.,1,0,0,0,0,0,0,0,0
Each party acknowledges that it has not entered into this Agreement in reliance upon any warranty or representation except those specifically set forth herein.,0,0,0,0,0,0,0,0,0
